what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326121773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383326130345
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326130746
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326131537
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326138677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326145700
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383326149517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326149876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326150520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326154225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326158556
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383326162422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326162836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326163646
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326168183
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383326172034
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326176963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326177171
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1383326177267
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1383326177580
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1383326179585
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1383326179589
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1383326179590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326184172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326184344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326188629
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326188765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383326194769
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326197787
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326202033
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326202092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326205395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326205513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1383326207531
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326209057
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326209291
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326209348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326212002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326212147
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326213619
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326213842
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326213898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326216377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326216541
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326221029
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326221266
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326221323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326224219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326224377
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326226000
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326226204
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326226260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326231670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326231820
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326234703
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326234949
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326235007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326238003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326238157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1383326241880
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326247042
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326247814
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326248568
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326249398
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326250212
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326251213
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326252030
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326252032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326254945
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326255935
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326256236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326284215
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326286279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326287302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326313766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326314763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326315080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326326889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326327784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326328498
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1383326334696
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326338015
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326338058
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326342541
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326342772
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326342831
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326345619
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326352775
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326352811
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326352811
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1383326353848
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1383326353850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326356034
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326367026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1383326371476
