what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284605881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284606394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284607307
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1384284614013
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1384284614043
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1384284614069
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1384284614174
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1384284614178
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1384284620818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284622919
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284624819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284627497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284632872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284638551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284642691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384284646720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1384284656974
started,bundle,org.maven.ide.eclipse.editor,0.10.2.20100623-1649,"org.maven.ide.eclipse.editor",1384284665460
started,bundle,org.maven.ide.eclipse.refactoring,0.10.2.20100623-1649,"org.maven.ide.eclipse.refactoring",1384284665794
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1384284667516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284667823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284667837
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284673067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284675401
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1384284675472
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1384284684544
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384284685938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1384284687139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284695707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284696110
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384284696882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384284697172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384284697454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384284697766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1384284698140
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1384284704102
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284721204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284726202
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1384284726303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284727095
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284741796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284749677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284751305
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.hashcode.equals",1384284751442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284763642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284768644
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.generate.tostring",1384284768706
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284769449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284770088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284770364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284782538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384284786335
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1384284793367
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1384284797425
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384284797916
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1384284798962
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384284799103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284803109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284804746
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1384284804753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284805016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284805381
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1384284814708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1384284860929
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384284885172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284888283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284939901
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284941407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284944458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284945374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284946398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284946765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284985042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284986696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284988101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284992613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284993181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384284993484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285036798
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285038119
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285052635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285053408
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285225735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285226167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285226849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285227376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285260902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285261613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285266131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285267469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285271490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285271834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285290662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285295164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285329653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285330762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285356269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285356888
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285375632
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285376404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285379617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285379714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285392404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285423197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285423462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285424000
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285424480
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285428016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384285428444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384286129971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384286134452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384286135672
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384286136247
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1384286138929
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1384286138986
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1384286139064
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1384286139139
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1384286139199
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1384286139256
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1384286139306
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1384286139358
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1384286139411
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1384286139456
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1384286139456
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1384286139505
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1384286139601
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1384286139648
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1384286139715
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1384286139715
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1384286139777
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1384286139821
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1384346202232
